event_id,university_code,occurred_at
1,de_pum,2026-01-01 08:15:00
2,de_pum,2026-01-01 09:02:00
3,de_pum,2026-01-01 09:02:00
1,de_pum,2026-01-01 08:15:00
4,de_tuda,2026-01-01 10:11:00
5,de_tuda,2026-01-01 14:45:00
6,de_pum,2026-01-02 08:00:00
7,de_pum,2026-01-02 08:00:00
7,de_pum,2026-01-02 08:00:00
8,de_tuda,2026-01-02 09:30:00
9,de_tuda,2026-01-02 09:31:00
10,de_pum,2026-01-03 07:59:00
11,de_pum,2026-01-03 08:20:00
12,de_tuda,2026-01-03 11:00:00
13,de_tuda,2026-01-03 11:05:00
14,de_tuda,2026-01-03 11:05:00
