university_name,university_code,onboarding_date,user_count
Universität der Künste Berlin,de_udk,1900-01-01,0
Hochschule für Bildende Künste Dresden,de_hbkd,1900-01-01,0
Hochschule Reutlingen,de_rt,2019-06-12,4933
Fachhochschule Potsdam,de_fhpo,2025-01-01,5998
Duale Hochschule Baden-Würtemberg Stuttgart,de_dhbws,2024-07-01,7437
Europa-Universität Flensburg,de_eufb,2020-12-18,5781
Hochschule Biberach,de_hbc,2020-02-24,2233
Universität der Bundeswehr München,de_ubm,1900-01-01,0
Hochschule für Musik Hanns Eisler Berlin,de_hmb,2024-07-01,556
Hochschule Karlsruhe - Technik und Wirtschaft,de_hska,1900-01-01,0
Ostfalia Hochschule für angewandte Wissenschaften,de_hof,2020-10-16,10087
Hochschule für Bildende Künste (Städelschule),de_shbk,1900-01-01,0
Evangelische Hochschule Berlin,de_ehb,1900-01-01,0
PH Zürich,ch_phz,2024-06-15,3820
SRH Fernhochschule - The Mobile University,de_srhf,1900-01-01,0
Evangelische Hochschule Bochum,de_evhb,2024-11-15,2552
Hochschule der Wirtschaft für Management,de_hdwm,2021-02-16,290
Hochschule Magdeburg-Stendal,de_hsm,2019-08-08,5144
FOM Hochschule für Oekonomie & Management - University of Applied Sciences,de_fom,1900-01-01,0
"Hamburger Fern-Hochschule, gemeinnützige GmbH",de_hfh,1900-01-01,0
Duale Hochschule Gera-Eisenach,de_dhge,1900-01-01,0
Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften - HDBW,de_hdbw,1900-01-01,0
Fachhochschule Dortmund,de_fhdo,1900-01-01,0
Duale Hochschule Schleswig-Holstein - staatlich anerkannte Hochschule für angewandte Wissenschaften in Trägerschaft der Wirtschaftsakademie Schleswig-Holstein,de_dhsh,1900-01-01,0
"Allensbach Hochschule Konstanz,  staatlich anerkannte Hochschule der European Education Group GmbH",de_ahs,1900-01-01,0
Hochschule Harz,de_hshz,2019-02-21,3017
HHL Leipzig Graduate School of Management,de_hhl,1900-01-01,0
Hochschule Anhalt,de_hsa,2019-03-19,7067
NORDAKADEMIE gemeinnützige Aktiengesellschaft Hochschule der Wirtschaft ,de_ne,2021-07-01,2481
Hochschule für angewandtes Management,de_ham,1900-01-01,0
Hochschule für Musik Nürnberg,de_hfmn,2021-07-20,333
IU Internationale Hochschule,de_iubh,1900-01-01,0
Technische Hochschule Mittelhessen,de_thm,2020-12-23,16795
VWA Rhein-Neckar e.V.,de_vwarn,2021-05-03,200
Julius-Maximilians-Universität Würzburg,de_jmu,2019-06-21,26126
Kunstakademie Düsseldorf,de_kad,1900-01-01,0
Hochschule Weserbergland,de_hswb,1900-01-01,0
Hochschule Fulda,de_hsfd,2024-05-21,8963
VWA Potsdam e.V.,de_vwap,2021-07-12,100
"Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen",de_hsge,2021-01-27,7244
Fachhochschule für die Wirtschaft Hannover,de_fhdwh,1900-01-01,0
Pädagogische Hochschule Weingarten,de_phw,2021-11-25,3307
Evangelische Hochschule Tabor,de_eht,1900-01-01,0
Alanus Hochschule,de_ahkg,2021-09-28,1564
AKAD Hochschule Stuttgart - staatlich anerkannt,de_akad,1900-01-01,0
Berufliche Hochschule Hamburg (BHH),de_bhh,1900-01-01,0
"Hochschule für Technik, Wirtschaft und Kultur Leipzig",de_htwk,1900-01-01,0
Hochschule Macromedia - staatlich anerkannte Hochschule für angewandte Wissenschaften der Macromedia GmbH mit Sitz in Stuttgart,de_hma,1900-01-01,0
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,de_tkkl,1900-01-01,0
Universität Konstanz,de_ukn,1900-01-01,0
Albert-Ludwigs-Universität Freiburg im Breisgau,de_aluf,1900-01-01,0
MSH Medical School Hamburg - University of Applied Sciences and Medical University,de_msh,1900-01-01,0
Universität Hildesheim,de_uhi,1900-01-01,0
Verwaltungs- und Wirtschafts-Akademie Wiesbaden,de_vwaw,2021-09-13,120
Hochschule Bremerhaven,de_fhbh,1900-01-01,0
